target,retained_fraction,precision_true_top5,n_retained,score_column
CO2_0p015bar_298K_mmolg,0.02,0.395,600,split_lower
CO2_0p015bar_298K_mmolg,0.05,0.392,1500,split_lower
CO2_0p015bar_298K_mmolg,0.1,0.3993333333333333,3000,split_lower
CO2_0p015bar_298K_mmolg,0.2,0.4118333333333333,6000,split_lower
CO2_0p015bar_298K_mmolg,0.3,0.4333333333333333,9000,split_lower
CO2_0p015bar_298K_mmolg,0.5,0.4502666666666666,15000,split_lower
CO2_0p150bar_298K_mmolg,0.02,0.3833333333333333,600,split_lower
CO2_0p150bar_298K_mmolg,0.05,0.3873333333333333,1500,split_lower
CO2_0p150bar_298K_mmolg,0.1,0.501,3000,split_lower
CO2_0p150bar_298K_mmolg,0.2,0.4976666666666666,6000,split_lower
CO2_0p150bar_298K_mmolg,0.3,0.5194444444444445,9000,split_lower
CO2_0p150bar_298K_mmolg,0.5,0.5375333333333333,15000,split_lower
CH4_5p8bar_298K_mmolg,0.02,0.5066666666666667,600,split_lower
CH4_5p8bar_298K_mmolg,0.05,0.7933333333333333,1500,split_lower
CH4_5p8bar_298K_mmolg,0.1,0.8823333333333333,3000,split_lower
CH4_5p8bar_298K_mmolg,0.2,0.9205,6000,split_lower
CH4_5p8bar_298K_mmolg,0.3,0.9225555555555556,9000,split_lower
CH4_5p8bar_298K_mmolg,0.5,0.9110666666666668,15000,split_lower
CH4_65bar_298K_mmolg,0.02,1.0,600,split_lower
CH4_65bar_298K_mmolg,0.05,1.0,1500,split_lower
CH4_65bar_298K_mmolg,0.1,0.9993333333333332,3000,split_lower
CH4_65bar_298K_mmolg,0.2,0.999,6000,split_lower
CH4_65bar_298K_mmolg,0.3,0.9988888888888888,9000,split_lower
CH4_65bar_298K_mmolg,0.5,0.9982666666666666,15000,split_lower
